图片文件夹,x,y,z
PIC_20190522_100025,602.9113,918.7289,20.1291
PIC_20190522_100255,601.4989,918.593,20.1218
PIC_20190522_100349,602.7987,916.8718,20.1242
PIC_20190522_100436,601.3611,917.0311,20.1234
PIC_20190522_100905,598.5398,914.0149,20.1244
PIC_20190522_101228,588.7839,912.7814,20.1325
PIC_20190522_101317,587.3828,912.9288,20.133
PIC_20190522_101402,585.1869,909.2945,20.129
PIC_20190522_101644,585.2477,894.0596,20.1273
PIC_20190522_102131,584.6558,892.3141,20.1266
PIC_20190522_102222,589.1885,895.2047,20.1301
PIC_20190522_102311,590.1158,893.5685,20.1322
PIC_20190522_102455,591.6368,890.5391,20.1279
PIC_20190522_102815,596.2039,892.8504,20.1272
PIC_20190522_103100,594.6731,898.0948,20.1234
PIC_20190522_103134,594.4754,899.5219,20.1274
PIC_20190522_103418,594.7348,907.5878,20.1285
PIC_20190522_103508,594.5037,909.4069,20.1258
PIC_20190522_103634,593.6396,913.2031,20.1286
PIC_20190522_103807,596.4435,913.2074,20.1293
PIC_20190522_103936,596.5693,908.8086,20.1286
PIC_20190522_104016,596.4735,906.8527,20.1333
PIC_20190522_104152,596.1871,902.4742,20.1311
PIC_20190522_104638,596.0924,897.3907,20.1311
PIC_20190522_104937,598.2975,893.4478,20.1359
PIC_20190522_105227,598.6293,896.1687,20.1374
PIC_20190522_105507,597.8652,900.9169,20.1295
PIC_20190522_105631,597.8828,904.3668,20.1318
PIC_20190522_105705,597.8123,905.9043,20.1346
PIC_20190522_105801,597.6467,907.3615,20.1372
PIC_20190522_105837,597.376,908.8175,20.1329
PIC_20190522_105914,597.402,910.3875,20.1351
PIC_20190522_105950,597.3541,911.8854,20.1357
PIC_20190522_110030,597.2944,913.2775,20.1343
PIC_20190522_110113,598.7263,913.35,20.1337
PIC_20190522_110152,599.0076,912.1606,20.1346
PIC_20190522_110359,599.2971,908.5595,20.1327
PIC_20190522_110440,599.405,907.2914,20.1358
PIC_20190522_110702,599.5624,902.8906,20.127
PIC_20190522_110758,599.8829,896.2444,20.1373
PIC_20190522_111106,602.1448,894.5027,20.1344
PIC_20190522_111238,603.1113,897.4212,20.1343
PIC_20190522_111337,603.379,898.7164,20.1337
PIC_20190522_111550,602.5477,902.4916,20.1355
PIC_20190522_111715,601.7871,905.4657,20.1311
PIC_20190522_111828,602.06,908.6992,20.1314
PIC_20190522_111950,602.6792,911.6163,20.1343
PIC_20190522_112117,603.9467,908.9912,20.1324
PIC_20190522_112156,604.0297,907.5862,20.1327
PIC_20190522_112543,604.5811,904.5698,20.1348
PIC_20190522_112916,605.5625,898.3612,20.1345
PIC_20190522_112958,605.8152,896.1981,20.1316
PIC_20190522_113048,605.9515,894.0905,20.1291
PIC_20190522_113142,606.6074,892.0888,20.1285
PIC_20190522_113304,609.0176,894.0603,20.1285
PIC_20190522_114604,608.9125,898.0817,20.1322
PIC_20190522_114753,608.8544,899.9916,20.1322
PIC_20190522_114915,608.4402,903.3348,20.1322
PIC_20190522_115043,607.4657,906.8162,20.1314
PIC_20190522_115133,607.7399,908.2728,20.1281
PIC_20190522_115217,610.0947,908.2533,20.1271
PIC_20190522_115311,610.2036,905.4447,20.1309
PIC_20190522_115351,610.0991,903.4483,20.1317
PIC_20190522_115857,609.848,896.5108,20.1344
PIC_20190522_120138,613.6633,894.5719,20.1166
PIC_20190522_120336,613.7969,902.6375,20.1193
PIC_20190522_120401,613.9323,904.9047,20.1193
PIC_20190522_120429,613.77,908.0814,20.1236
PIC_20190522_120508,616.536,905.4204,20.1169
PIC_20190522_120701,598.0858,908.0001,20.1261
