dir,x,y,z
PIC_20190531_134936,104.729,98.354,0.081
PIC_20190531_135137,103.626,95.34,0.022
PIC_20190531_135326,103.721,93.155,-0.066
PIC_20190531_135457,104.681,92.137,-0.139
PIC_20190531_135652,103.843,88.847,-0.417
PIC_20190531_140348,105.211,76.709,-1.025
PIC_20190531_140454,107.163,76.865,-1.067
PIC_20190531_140624,109.883,77.154,-1.133
PIC_20190531_140749,112.184,76.68,-1.152
PIC_20190531_141113,110.688,72.359,-0.734
PIC_20190531_141237,114.405,73.571,-0.946
PIC_20190531_141336,116.28,73.736,-1.101
PIC_20190531_141637,102.055,69.733,-0.913
PIC_20190531_141748,99.298,69.033,-0.911
PIC_20190531_141957,101.138,73.655,-0.964
PIC_20190531_142103,101.887,75.664,-0.984
PIC_20190531_142617,97.228,82.118,-1.249
PIC_20190531_142706,95.726,83.005,-1.35
PIC_20190531_142901,100.463,85.995,-0.723
PIC_20190531_143007,101.145,88.297,-0.466
PIC_20190531_143106,101.337,90.73,-0.23
PIC_20190531_143250,101.104,95.539,0.026
PIC_20190531_143720,103.509,106.739,-0.123
PIC_20190531_143910,103.492,109.471,-0.333
PIC_20190531_144101,103.614,112.535,-0.653
PIC_20190531_144135,104.792,113.543,-0.775
PIC_20190531_144640,105.016,118.085,-1.167
PIC_20190531_144736,103.534,118.682,-1.14
PIC_20190531_144851,105.255,120.111,-1.163
PIC_20190531_152443,103.382,123.315,-1.119
PIC_20190531_152735,103.446,125.187,-1.125
PIC_20190531_153228,100.805,129.433,-1.161
PIC_20190531_153429,104.652,129.618,-1.128
PIC_20190531_153525,106.021,129.614,-1.14
PIC_20190531_153744,102.325,131.267,-1.14
PIC_20190531_153848,100.927,131.456,-1.173
PIC_20190531_154016,103.06,131.357,-1.122
PIC_20190531_154106,104.814,131.37,-1.123
PIC_20190531_154346,102.993,133.282,-1.126
PIC_20190531_154452,105.061,133.892,-1.122
PIC_20190531_154608,107.149,134.51,-1.135
PIC_20190531_154657,105.634,135.564,-1.122
PIC_20190531_155357,107.877,137.808,-1.147
PIC_20190531_160505,106.948,140.704,-1.143
PIC_20190531_160815,109.231,144.47,-1.198
PIC_20190531_161048,99.268,127.701,-1.162
PIC_20190531_161158,97.866,125.602,-1.166
PIC_20190531_161258,98.629,123.473,-1.134
PIC_20190531_161446,98.559,121.997,-1.132
PIC_20190531_161539,97.285,121.225,-1.134
