图片文件夹,x,y,z
PIC_20190512_160745,607.9228,897.2122,20.0757
PIC_20190512_161538,610.4561,898.6347,20.0763
PIC_20190512_162014,608.8304,892.7737,20.5918
PIC_20190512_162304,607.4514,895.4754,20.0769
PIC_20190512_162515,605.0023,894.7335,20.0769
PIC_20190512_162607,605.9476,896.1587,20.0742
PIC_20190512_162655,606.5537,897.6661,20.0755
PIC_20190512_162756,607.1131,898.9967,20.0778
PIC_20190512_162857,609.1476,899.3124,20.0769
PIC_20190512_162952,610.5125,899.218,20.0777
PIC_20190512_163403,612.5752,902.4411,20.0837
PIC_20190512_163438,612.4431,903.3052,20.0815
PIC_20190512_163558,612.3197,904.353,20.0811
PIC_20190512_163949,612.7989,905.3205,20.0833
PIC_20190512_164316,609.0187,903.7347,20.0773
PIC_20190512_164501,609.0926,902.7189,20.0775
PIC_20190512_164549,609.0031,901.3295,20.0777
PIC_20190512_164750,607.3008,902.6587,20.0776
PIC_20190512_164948,606.7264,904.9368,20.0819
PIC_20190512_165049,605.3574,905.0457,20.0829
PIC_20190512_165133,604.218,905.1499,20.0831
PIC_20190512_165858,603.4689,898.8575,20.0807
PIC_20190512_165949,603.5651,901.188,20.0831
PIC_20190512_170038,603.1533,902.7908,20.0817
PIC_20190512_170633,605.8775,907.1536,20.0825
PIC_20190512_170917,605.8632,907.866,20.0834
PIC_20190512_171017,604.7441,908.2452,20.0849
PIC_20190512_171159,606.1183,910.0689,20.0839
PIC_20190512_171314,605.1789,910.4048,20.083
PIC_20190512_171420,603.9013,910.4071,20.0827
PIC_20190512_172502,609.5789,919.7547,20.3196
PIC_20190512_172736,608.4378,923.1856,20.68
PIC_20190512_173124,606.9244,915.1886,20.0789
PIC_20190512_173410,605.9138,913.1942,20.0809
PIC_20190512_174159,605.9145,913.1982,20.0808
PIC_20190512_174320,604.3536,912.9118,20.0829
PIC_20190512_174701,605.7447,919.7519,20.0779
PIC_20190512_174757,606.5345,921.3264,20.0799
PIC_20190512_174854,604.3486,921.6662,20.0813
PIC_20190512_175437,601.5112,914.6266,20.0885
PIC_20190512_175923,601.16,916.0165,20.0873
PIC_20190512_180312,598.4887,917.8787,20.0863
PIC_20190512_180444,598.7196,914.8721,20.0919
PIC_20190512_180606,598.8052,912.0158,20.0869
PIC_20190512_180645,597.4086,911.5293,20.0854
PIC_20190512_180808,596.9526,914.3779,20.0917
PIC_20190512_180847,596.6652,915.8345,20.0888
PIC_20190512_180951,595.6459,919.2023,20.0886
PIC_20190512_181042,594.5384,921.1123,20.0867
PIC_20190512_181354,593.9419,917.1742,20.0848
PIC_20190512_181617,593.8483,913.2549,20.0861
PIC_20190512_181801,590.6598,912.6272,20.0856
PIC_20190512_182021,594.2942,911.2094,20.0822
PIC_20190512_182134,595.5185,909.7523,20.0855
PIC_20190512_182218,594.7228,908.8231,20.0861
PIC_20190512_182250,593.0182,908.7437,20.0862
PIC_20190512_182525,594.7388,906.779,20.0866
PIC_20190512_182637,593.0919,905.2001,20.0901
PIC_20190512_182725,591.1268,904.9094,20.0895
PIC_20190512_182803,590.8632,903.442,20.0919
PIC_20190512_182910,590.551,901.9864,20.0892
PIC_20190512_183011,591.7679,900.8724,20.0888
PIC_20190512_183229,595.001,902.9618,20.0881
