,x,y,z
PIC_20190530_195828,103.264,100.004,0.034
PIC_20190530_200345,106.209,96.627,0.032
PIC_20190530_201500,102.864,97.207,0.035
PIC_20190530_202514,105.044,89.656,0.033
PIC_20190530_202629,100.099,89.688,0.043
PIC_20190530_202941,95.108,90.548,0.048
PIC_20190530_203026,93.275,91.102,0.047
PIC_20190530_203446,93.497,94.521,0.051
PIC_20190530_203632,95.286,94.597,0.05
PIC_20190530_203849,98.315,94.261,0.044
PIC_20190530_204636,100.342,97.13,0.045
PIC_20190530_204732,102.076,97.047,0.035
PIC_20190530_205130,93.668,95.639,0.058
PIC_20190530_205543,97.975,89.722,0.056
PIC_20190530_205800,98.584,93.5,0.049
PIC_20190530_210437,101.978,97.921,0.044
PIC_20190530_210753,102.257,103.087,0.04
PIC_20190530_211409,100.473,102.517,0.046
PIC_20190530_213148,97.263,105.335,0.053
PIC_20190530_213749,102.934,105.914,0.045
PIC_20190530_213842,102.525,107.938,0.054
PIC_20190530_213933,100.833,108.128,0.045
PIC_20190530_214029,98.977,108.012,0.042
PIC_20190530_214209,96.243,108.721,0.056
PIC_20190530_214452,99.147,110.931,0.038
PIC_20190530_214631,102.734,110.771,0.038
PIC_20190530_214946,96.81,112.145,0.052
PIC_20190530_215031,95.388,110.987,0.052
PIC_20190530_215348,98.645,106.988,0.052
PIC_20190530_215713,93.612,109.728,0.071
PIC_20190530_215818,93.607,111.465,0.057
PIC_20190530_215901,97.246,110.934,0.06
PIC_20190530_215949,99.49,111.364,0.059
PIC_20190530_220040,101.722,110.951,0.049
PIC_20190530_220133,103.579,105.001,0.056
PIC_20190530_220223,97.089,96.612,0.076
PIC_20190530_220553,94.567,91.828,0.084
PIC_20190530_221619,101.944,92.084,0.086
PIC_20190530_221719,100.481,93.173,0.074
PIC_20190530_221834,98.496,93.089,0.08
PIC_20190530_221930,103.273,90.727,0.065
PIC_20190530_222501,101.581,99.106,0.076
PIC_20190530_222607,101.446,100.883,0.076
PIC_20190530_222710,100.711,101.642,0.078
PIC_20190530_222842,99.921,101.863,0.081
PIC_20190530_222957,98.372,101.519,0.086
PIC_20190530_223154,100.471,89.042,0.102
PIC_20190530_223731,96.535,93.403,0.095
PIC_20190530_223826,98.046,94.37,0.098
PIC_20190530_224033,102.249,90.051,0.089
