dir,x,y,z
PIC_20190601_122843,102.9940,105.6150,0.0140
PIC_20190601_123051,105.1500,102.2250,0.0130
PIC_20190601_123234,105.5700,103.4060,0.0130
PIC_20190601_123648,104.5210,106.3030,0.0170
PIC_20190601_123846,103.2620,107.4640,0.0140
PIC_20190601_123954,101.1690,106.1070,0.0150
PIC_20190601_124404,96.6730,108.0640,0.0510
PIC_20190601_124633,96.6340,103.6450,0.0480
PIC_20190601_124907,97.9790,96.4500,0.0360
PIC_20190601_125211,95.1110,92.2130,0.0490
PIC_20190601_125359,97.8780,93.8840,0.0320
PIC_20190601_125644,100.5670,93.1300,0.0210
PIC_20190601_130125,106.5700,96.1550,0.0280
PIC_20190601_130212,105.7980,97.8550,0.0210
PIC_20190601_130311,107.0020,99.5280,0.0410
PIC_20190601_131432,103.4500,90.9700,-0.0830
PIC_20190601_131540,103.1270,89.0170,-0.1300
PIC_20190601_131912,102.4480,83.1570,-0.1180
PIC_20190601_132434,97.9580,87.8500,0.0400
PIC_20190601_132706,99.1680,81.7140,0.0260
PIC_20190601_132755,98.2890,79.5150,0.0290
PIC_20190601_132838,100.5010,78.5440,0.0180
PIC_20190601_132930,98.6640,75.8370,0.0310
PIC_20190601_133339,98.5250,65.6940,0.0380
PIC_20190601_133555,102.2240,66.9310,0.6080
PIC_20190601_133649,104.1130,68.0000,0.6100
PIC_20190601_134009,100.7190,58.7140,0.0530
PIC_20190601_134617,100.2730,53.1620,0.0750
PIC_20190601_134732,102.5210,56.1270,0.0580
PIC_20190601_134831,104.2880,57.6300,0.0480
PIC_20190601_135028,103.6950,51.7830,0.0820
PIC_20190601_135233,105.2220,55.1920,0.0660
PIC_20190601_135445,108.2370,62.0930,0.0740
PIC_20190601_135710,107.4260,67.2540,0.0630
PIC_20190601_135755,107.8790,69.2240,0.0740
PIC_20190601_135852,106.8740,72.0330,0.0610
PIC_20190601_140112,106.8950,77.0840,0.0660
PIC_20190601_140250,106.3920,77.8400,0.0610
PIC_20190601_140335,104.4160,77.8860,0.0530
PIC_20190601_140438,104.4780,75.2890,0.0510
PIC_20190601_140632,101.9780,74.4570,-0.0170
PIC_20190601_140843,103.2220,70.6650,-0.0290
PIC_20190601_140934,103.2920,68.9000,-0.1110
PIC_20190601_141035,107.0660,81.2570,0.0370
PIC_20190601_141435,106.0180,85.2870,0.0260
PIC_20190601_141519,107.1900,87.2450,0.0420
PIC_20190601_141748,107.0990,91.4620,0.0420
PIC_20190601_142416,109.1670,106.3150,0.0550
PIC_20190601_142716,110.3730,104.0950,0.0490
PIC_20190601_142904,107.2510,104.7890,0.0490
